34
34,7
34,4
34,2
33,9
33,3
32,6
31,8
30,8
30,4
29,8
29,2
28,6
28,1
28,2
29
29,5
29,4
28,7
27,1
26,1
24,8
23,6
22
19,6
16,8
14,4
12,9
11,9
11,3
10,3
9,4
8,6
8
7,7
7,5
7,1
6,3
5,7
5,5
5,5
5,7
5,8
5,5
5,5
5,2
5,5
5,8
5,5
4,7
3,8
2,7
1,2
-0,4
-2,3
-4,4
-7,9
-11,8
-15,5
-17,7
-17,9
-15,6
-9,8
0,3
15,5
36
60,7
87,2
112,2
131,1
141,1
142,2
136,3
125,2
109,2
89,4
67,2
43,9
21,9
4,6
-5,4
-8,6
-7,6
-5,1
-3
-2,3
-2,5
-2,5
-2,7
-2,5
-2,5
-2,7
-3
-3,3
-3,5
-3,4
-3,5
-4,1
-3,9
-3,7
-3,2
-2,9
-2,7
-2,8
-3
-3,1
-3
-2,8
-3,2
-3,8
-4,5
-4,7
-4,9
-4,9
-4,9
-5,2
-4,9
-4,5
-4
-3,5
-3,4
-3,5
-3,7
-3,7
-3,7
-3,7
-4,3
-4,8
-5,1
-5,1
-4,8
-4,8
-4,6
-4,9
-4,7
-4,4
-4
-3,9
-3,9
-4,4
-4,8
-4,9
-5
-4,7
-5,1
-5,4
-5,6
-5,4
-5,2
-4,8
-5
-5,3
-5,7
-6
-5,9
-5,6
-5,7
-6,2
-6,7
-7,2
-7,5
-7,6
-7,9
-8,7
-9,2
-9,7
-9,8
-9,8
-10,1
-10,4
-10,4
-10,5
-10,3
-9,8
-9,7
-9,9
-9,9
-9,3
-8,3
-7,3
-6,7
-6,2
-5,3
-4,1
-2,8
-1,2
0
0,8
1,6
2,6
4,2
6
7,3
8
8,9
9,8
11,1
12
12,8
13,2
13,2
13,4
13,4
13,6
13,8
13,6
13,2
13,1
12,7
12,6
12,5
12
11,6
11,4
11,1
10,7
10,1
9,3
9,1
8,9
8,9
8,6
8,4
8
7,7
7,7
8
8,4
8,2
7,8
7,4
7,5
7,4
7,5
7
6,5
5,7
5,2
4,9
4,5
3,9
3,3
3,1
3
3,3
3,5
3,7
3,4
3,6
3,9
4,1
4,1
3,8
3
2,5
2,3
2,4
2,4
1,7
1
0,7
0,8
0,9
1,2
1
0,4
-0,3
-0,4
-0,1
0,4
0,6
0,4
0,5
0,6
1,2
1,8
2,3
2,5
2,6
2,9
3,4
3,7
3,6
3,4
3,1
3,2
3,4
3,9
4,6
4,9
5
5,5
6,6
7,9
8,9
10,3
11,7
13,2
14,6
16
17,2
18
18,6
19,1
19,7
19,7
19,5
18,9
18,1
17,5
17,4
17,8
18,1
17,7
16,5
15,3
13,9
12,4
10,6
8,7
6,6
4,5
2,2
0,8
0
-1,1
-2
-2,6
-2,8
-3,2
-3,6
-4,4
-4,6
-5
-5,1
-4,7
-4,7
-5
-5
-4,6
-4,2
-3,7
-4,1
-4,7
-5,3
-6,5
-8,1
-9,9
-12,6
-16,2
-20,4
-23,9
-25,2
-23,9
-19,9
-12,6
0,6
19,3
43,2
70,9
100,4
128,6
152
167,8
174,3
172,4
162,3
144,7
121,3
94,3
66,4
39,8
16,9
-0,7
-11,7
-17,3
-19,5
-19,3
-17,9
-16,3
-14,9
-14,1
-14
-13,7
-13,9
-14,3
-14,9
-15,3
-15,6
-15,5
-15,9
-16,1
-16,1
-16,1
-16
-15,6
-15,5
-15,7
-16
-16
-15,7
-15,7
-16,1
-16,9
-17,1
-17,5
-17,5
-17,5
-17,6
-18
-18,2
-18,3
-18,1
-17,6
-17,7
-17,7
-17,4
-17
-16,4
-15,9
-16,1
-16,2
-16,2
-16,2
-15,6
-15,2
-15,3
-15,7
-16
-16,1
-15,7
-15,3
-15,5
-16
-16,8
-17
-17
-16,9
-17,2
-17,8
-18,4
-18,9
-19,1
-19,3
-19,4
-20,1
-20,8
-21,3
-21,4
-21,6
-22,2
-23,1
-23,8
-24
-24,5
-24,8
-25,3
-26,1
-26,9
-27,4
-27,4
-27,4
-27,8
-28,6
-28,9
-28,9
-28,7
-28,1
-27,6
-27,3
-26,5
-25,3
-23,3
-21,1
-19,1
-17,4
-15,3
-13
-10,6
-8,2
-6,6
-5,3
-4,3
-3,2
-2
-0,7
-0,3
-0,2
-0,2
0,1
0,6
1,3
1,3
0,9
0,8
0,6
1
1,4
1,3
0,9
0,8
0,6
0,7
1,2
1
0,9
0,7
0,8
1,4
1,8
1,8
1,5
1,5
1,6
1,6
1,6
1,5
0,8
0,3
0
-0,1
-0,2
-0,6
-1,4
-1,8
-2,2
-2,5
-2,4
-3
-3,6
-4,2
-4,4
-4,3
-4,1
-4,3
-4,5
-4,8
-4,7
-4,4
-4,1
-4
-4,4
-4,5
-4,5
-4,2
-4
-4,2
-5
-5,5
-5,8
-5,8
-5,6
-5,8
-6,1
-6,4
-6,3
-5,8
-5,3
-5,1
-5,1
-5,3
-5,2
-4,9
-4,9
-4,9
-5,4
-5,8
-5,9
-5,6
-5,4
-5,2
-5,2
-5,2
-5
-4,7
-4,3
-4,2
-4,3
-4,5
-4,3
-3,8
-2,9
-2,3
-1,5
-0,6
0,6
2,2
3,8
5,3
6,8
8,1
9,2
10,7
12,3
13,2
13,8
14,3
14,7
15,3
15,5
15,5
14,8
13,8
12,8
12,6
13
13,4
13,7
13,1
12,6
12
11,8
11,2
10,1
8,3
6,2
3,9
1,8
0
-2
-3,6
-4,8
-5,7
-6,4
-6,9
-7,8
-8,7
-9,4
-9,6
-9,5
-9,9
-10,7
-11,3
-11,7
-11,5
-11,4
-11,6
-12,3
-13,2
-14,6
-16,3
-18,4
-21,2
-24,8
-29,1
-32,2
-32,5
-29,4
-23
-11,9
5,6
29,2
57,3
87,6
116
136,9
146
144,6
136,4
123,9
106,8
84,7
59,1
32,1
7,2
-11
-19,9
-21,6
-19,5
-17,5
-16,4
-16
-16
-16,4
-16,6
-16,8
-16,9
-17,1
-17,3
-17,6
-18,1
-18,3
-18,5
-18,7
-19
-19,7
-20,1
-20
-20,1
-19,8
-20
-20,5
-20,8
-20,7
-20,5
-20
-20,1
-20,3
-20,1
-19,9
-19,4
-18,8
-18,3
-18,3
-18,2
-17,8
-17,3
-16,9
-17,2
-17,8
-18,3
-18,6
-19
-18,9
-19,3
-20
-20,4
-20,7
-20,4
-19,9
-19,6
-19,8
-19,7
-19,6
-19
-18,5
-18,1
-17,9
-17,6
-17,6
-17,2
-16,5
-16,3
-16,5
-16,7
-16,8
-17
-17,2
-17,9
-18,3
-19
-19,5
-19,8
-19,7
-20,3
-20,8
-21,3
-21,4
-21,4
-21,4
-21,3
-21,5
-21,7
-21,8
-21
-20,3
-19,4
-18,5
-17,3
-15,7
-14
-12,1
-10,3
-8,7
-7,3
-5,8
-4,1
-2,7
-1,8
-1,2
-0,6
0
0,7
1,4
1,7
1,9
1,8
1,6
1,9
2
1,8
1,4
0,9
0,7
0,8
0,9
0,7
0,5
0,4
0,3
0,7
0,9
0,9
0,5
0,2
-0,1
-0,1
-0,1
-1
-1,8
-2,7
-3,2
-3,3
-3,4
-3,8
-4,6
-5,2
-5,7
-5,8
-6
-6,3
-6,9
-7,4
-7,7
-7,7
-7,6
-7,6
-7,9
-8,1
-7,9
-7,9
-7,6
-7,9
-8,5
-9,1
-9,2
-9,5
-9,4
-9,4
-10
-10,3
-10,6
-10,2
-9,6
-9,2
-9,4
-9,4
-9,1
-8,7
-7,9
-7,6
-7,6
-7,8
-7,9
-8
-7,7
-7,9
-8,7
-8,9
-9,3
-9,3
-9,2
-9,2
-9,5
-9,6
-9,4
-9
-8,2
-8
-7,7
-7,4
-6,4
-5,3
-4
-3
-2,2
-0,9
0,3
1,7
3
4,2
4,9
5,7
6,7
8
8,9
9,4
9,6
9,5
9,8
10
10
9,7
9,3
8,6
8,3
8,3
8,7
9,5
9,6
9,4
8,7
8,1
6,7
5,1
3
0,6
-1,9
-4,5
-6,8
-8,9
-10,5
-12,2
-13
-13,5
-13,6
-13,8
-14,3
-14,9
-14,9
-14,7
-14,7
-14,7
-15,3
-15,7
-16
-15,9
-15,9
-16,4
-18,1
-20,1
-22,4
-24,7
-26,9
-29,6
-33,6
-38,7
-43,2
-46,2
-46,9
-45,1
-40,4
-32,5
-20,2
-2
22,7
51,8
81,6
108,5
127,9
